item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,kpi_score,,inventory_value,days_of_inventory,inventory_coverage_days,stockout_risk,holding_cost_exposure,safety_stock,reorder_quantity,excess_inventory_flag,slow_moving_flag,fast_moving_flag,forecast_accuracy_gap,demand_growth_pct,supplier_id
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92,B,51,3.64,64.69,1.65,2,0.71,309,5.67,0.37,12/22/24,280.08,0.487,,13584.9,64.02439024,5.248500428,Low,346.5,20.1143595,0,YES,NO,NO,257.12,,SUP006
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,11/5/24,234.62,0.47,,15789.51,101.6528926,3.669763873,Medium,202.95,8.670353583,0,NO,YES,NO,226.15,,SUP009
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,12/26/24,35.69,0.624,,7014.84,1.287553648,8.237601569,High,5.46,5.830083018,3,NO,YES,NO,192.65,,SUP009
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,4/14/24,76.89,0.591,,29990.4,13.24009324,25.8551177,Low,369.2,8.118,0,YES,YES,NO,73.26,,SUP011
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54,D,65,1.55,29.47,1.95,2,0.88,93,4.18,0.26,7/22/24,155,0.449,,9106.23,19.83311938,13.95483871,Low,602.55,19.66509983,0,YES,YES,NO,45.94,,SUP004
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,14.54,0.36,5/2/24,14.02,0.676,,25759.13,9.820647419,224.1797432,Medium,242.46,4.801244839,0,YES,NO,YES,306.02,,SUP006
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,10/9/24,191.13,0.58,,36353.98,46.02870813,17.61628211,Low,774.41,41.07925773,0,YES,NO,NO,117.98,,SUP015
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,6/13/24,200.6,0.565,,52740.61,20.06972112,14.06281157,Medium,451.36,22.58781902,0,YES,YES,NO,60.04,,SUP002
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,5/24/24,211.97,0.526,,15863.94,5.926083263,9.213567958,Medium,145.08,27.86436737,0,YES,NO,NO,117.59,,SUP009
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,7/13/24,171.16,0.674,,23576.85,19.74464204,17.70857677,Medium,86.6,2.871,0,YES,YES,NO,17.65,,SUP012
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,8/26/24,141.19,0.552,,32061.24,17.67210788,24.69013386,Low,766.92,44.28892613,0,YES,NO,NO,56.07,,SUP005
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,9/30/24,258.11,0.695,,46212.66,76.31578947,10.22432296,Low,263.9,36.82133139,0,YES,NO,NO,223.53,,SUP013
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,11/28/24,232.53,0.573,,9738.4,2.366565962,2.829742399,Medium,76.14,46.7775,0,NO,YES,NO,45.51,,SUP004
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55,C,20,1.97,169.91,1.02,8,0.89,864,4.4,0.25,7/2/24,187.58,0.425,,63546.34,17.21915285,13.9567118,Medium,381.48,25.34694856,0,YES,YES,NO,35.54,,SUP005
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,6/6/24,23.34,0.553,,12977.51,2.261993537,27.29220223,Medium,96.46,26.41690709,0,NO,NO,NO,258.27,,SUP015
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,5/13/24,211.24,0.56,,38002.6,20.68452381,9.212270403,Medium,136.22,5.478,0,YES,NO,NO,117.16,,SUP010
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,7/3/24,171.87,0.434,,16421.46,19.21658986,16.9837668,Medium,571.29,20.55771545,0,YES,NO,NO,19.97,,SUP004
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,9/19/24,211.11,0.693,,4241.43,5.235204856,6.863720335,Low,293.94,3.947778014,0,YES,NO,YES,65.67,,SUP004
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,9/11/24,100.31,0.779,,51312,9.852216749,33.4961619,Low,177.6,8.21375237,0,YES,NO,NO,240.73,,SUP015
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,8/26/24,235.33,0.435,,4533.12,48.97959184,5.711129053,Medium,213.12,28.35020762,0,YES,NO,NO,207.89,,SUP015
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14,A,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2/20/24,131.2,0.697,,39500.84,12.22739525,26.62347561,Medium,628.74,19.68835838,0,YES,NO,YES,154.47,,SUP006
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4,0.8,8/28/24,269.4,0.724,,4622.64,19.64399237,8.028953229,Low,139.05,8.6625,0,YES,YES,NO,159.29,,SUP004
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,6/12/24,40.16,0.403,,2789.76,2.286530904,11.15537849,Medium,115.2,42.38890463,0,YES,NO,NO,155.77,,SUP015
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13,A,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,4/14/24,150.52,0.607,,2477.6,5.259697567,3.720435822,Medium,81.6,22.98450592,0,YES,NO,YES,44.05,,SUP012
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46,D,165,2.05,162.19,0.32,7,0.75,92,12.95,0.25,7/8/24,69.66,0.601,,16543.38,3.283966516,10.24978467,Medium,32.64,5.320271422,0,NO,NO,YES,147.76,,SUP005
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,6/9/24,141.51,0.482,,10757.92,7.74263904,7.02423857,Medium,105.08,38.06706986,0,NO,YES,NO,13.13,,SUP014
ITM10052,Pharma,377,50,14,5,17.35,4.21,1,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,7/30/24,112.59,0.61,,9417.46,21.72910663,23.43902656,Medium,380.77,15.53284621,0,YES,NO,YES,8.86,,SUP010
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,1/24/24,243,0.589,,2115.4,12.23776224,1.008230453,High,4.2,16.65163127,48,NO,YES,NO,222.98,,SUP008
ITM10054,Groceries,85,19,3,6,8.2,3,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,10/15/24,58.48,0.665,,11877.05,10.36585366,10.1744186,Medium,13.6,12.12497423,0,YES,NO,YES,1.08,,SUP013
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,4/23/24,183.63,0.634,,67189.81,9.643012625,16.88721886,Medium,93.03,3.036,0,YES,YES,NO,137.95,,SUP004
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,3/15/24,127.88,0.585,,5374.28,3.28525641,8.977166093,Low,183.68,15.0975,0,YES,YES,NO,221.56,,SUP002
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,1/9/24,160.24,0.737,,62224.42,10.03821656,17.21168248,Low,291.56,4.713573803,0,YES,NO,NO,114.51,,SUP002
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,5/13/24,217.18,0.507,,14554.21,12.02657807,5.833870522,Medium,325.8,40.51174408,0,YES,NO,YES,111.83,,SUP014
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12,0.71,10/10/24,113.56,0.632,,35187.24,12.21042471,15.59528003,Medium,293.48,29.64167481,0,YES,NO,YES,31.48,,SUP001
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,10/26/24,116.45,0.66,,54898.41,10.71428571,23.98454272,Medium,614.46,29.436,0,YES,NO,YES,144.23,,SUP001
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,10/23/24,32.27,0.553,,26207.14,3.363598844,35.35791757,Medium,229.83,36.1845,0,YES,NO,NO,306.95,,SUP009
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,8/1/24,170.06,0.696,,53707.42,16.16638079,15.51805245,Low,410.93,7.072901632,0,YES,NO,NO,6.82,,SUP006
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,5/31/24,130.9,0.273,,3597.66,4.969987995,11.06951872,Medium,312.57,26.97842338,0,YES,YES,NO,160.65,,SUP001
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,3/19/24,245.56,0.702,,37066.7,6.990569906,9.72063854,Low,385.33,33.39008507,0,YES,YES,NO,95.9,,SUP009
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,4/10/24,137.39,0.561,,19496.33,10.70776256,23.89548002,Medium,389.27,14.05704134,0,YES,NO,NO,169.21,,SUP013
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,6/17/24,291.53,0.537,,95784.97,40.6430338,11.83754674,Medium,458.49,4.458298779,0,YES,NO,NO,206.62,,SUP005
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,4/27/24,59.82,0.638,,1875.52,23.02158273,3.744567034,High,54.08,20.54818476,20,NO,NO,YES,50.09,,SUP014
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,7/13/24,87.45,0.459,,18233.46,8.084428515,16.24928531,Medium,237.51,36.729,0,YES,YES,NO,88.32,,SUP011
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,10/18/24,123.65,0.73,,6158.1,4.807692308,7.35948241,Low,106.6,36.45575584,0,YES,NO,NO,65.63,,SUP006
ITM10070,Electronics,434,10,3,4,10.86,1,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,5/5/24,59.42,0.718,,15437.38,39.96316759,51.12756648,Medium,190.96,3.3,0,YES,NO,YES,16.6,,SUP004
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1,9/12/24,291.97,0.647,,38371.62,20.66889632,7.408295373,Medium,321.36,5.28708509,0,YES,NO,NO,187.32,,SUP014
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,10/8/24,195.88,0.687,,32561.8,8.157963107,11.22115581,Low,182.12,20.394,0,YES,NO,NO,73.55,,SUP003
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,12/1/24,13.25,0.421,,38159.3,19.54261954,248.3018868,Medium,902.4,31.581,0,YES,NO,NO,155.1,,SUP004
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,12/16/24,177.77,0.66,,10780.53,24.83383686,16.18383304,Medium,423.33,3.8268619,0,YES,NO,YES,61.92,,SUP014
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,6/21/24,236.56,0.563,,35060.22,7.4262139,6.924247548,Medium,28.08,9.963841654,0,YES,YES,NO,15.99,,SUP012
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,5/11/24,24.88,0.651,,5343.91,14.58017581,135.329582,Low,134.68,22.32154859,0,YES,NO,NO,206.05,,SUP003
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,9/7/24,177.6,0.657,,13477.44,3.591731266,5.478603604,Low,88.96,30.35285215,0,YES,YES,NO,93.3,,SUP013
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,11/24/24,118.55,0.72,,52206.19,46.19815668,23.67777309,Medium,112.28,12.91329257,0,YES,NO,YES,57.79,,SUP006
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,9/8/24,178.63,0.503,,6796.16,1.98231985,2.89984885,Medium,133.2,20.61245619,0,NO,NO,NO,82.68,,SUP011
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,8/23/24,83.26,0.567,,1563.08,1.514652618,3.867403315,High,79.12,40.7385,13,NO,NO,NO,129.33,,SUP007
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1,126,11.36,0.5,3/27/24,203.14,0.577,,21628.19,35.86387435,4.72088215,Medium,265.78,22.30780473,0,YES,NO,NO,176.4,,SUP013
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,6/29/24,204.69,0.586,,17172,6.139677667,8.207533343,Medium,345.6,9.924787718,0,YES,NO,NO,68.94,,SUP008
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,3/27/24,166.46,0.503,,8900,12.64542236,10.51303616,Medium,332.5,6.767011896,0,YES,NO,NO,28.07,,SUP014
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,3/12/24,277.89,0.494,,8247.6,4.188481675,1.813667278,High,133.2,46.6785,15,NO,YES,NO,157.56,,SUP007
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,10/6/24,273.75,0.394,,4282.96,13.67595819,8.029223744,Medium,596.6,17.2174634,0,YES,YES,NO,113.03,,SUP005
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,9/7/24,23.79,0.483,,24333.8,18.93095768,100.0420345,Medium,601.8,20.91970965,0,YES,NO,YES,101.93,,SUP006
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,4/4/24,94.07,0.483,,64100.4,23.89078498,31.25332199,Medium,730.8,29.49483806,0,YES,NO,NO,28.99,,SUP015
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,10/4/24,115.64,0.689,,46221.84,6.206896552,15.25423729,Low,347.76,11.84333404,0,YES,NO,YES,168.56,,SUP012
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,11/24/24,26.03,0.521,,21670.11,24.92957746,47.59892432,Medium,17.7,15.65746546,0,YES,NO,NO,23.67,,SUP010
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,1/31/24,161.85,0.546,,23415.6,9.390444811,19.72196478,Medium,419.52,29.37974543,0,YES,YES,NO,178.07,,SUP008
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,9/25/24,17.13,0.653,,14918.4,10.21638879,117.6882662,Low,377.28,22.61670956,0,YES,NO,NO,180.2,,SUP004
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,1/18/24,206.64,0.453,,4989.6,4.016064257,1.35501355,Medium,45.6,5.349792636,0,YES,YES,NO,136.92,,SUP001
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2/8/24,10.78,0.543,,36832.16,56.79676985,274.025974,Medium,700.52,36.71064602,0,YES,NO,YES,41.23,,SUP014
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,12/8/24,19.26,0.626,,3144.96,2.401601067,26.1682243,Low,119.52,14.19,0,YES,NO,NO,190.6,,SUP014
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22,B,16,1,159.61,1.24,3,0.91,418,7.73,0.83,1/25/24,251.79,0.667,,46925.34,9.181761399,8.173477898,Medium,364.56,15.3074476,0,YES,NO,NO,27.65,,SUP004
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,1/4/24,83.26,0.698,,15952.6,92.22222222,27.91256306,Medium,46.48,20.79106069,0,YES,NO,YES,58.06,,SUP002
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,7/30/24,33.56,0.506,,21333,23.23780015,62.57449344,Medium,240,16.67659498,0,YES,NO,NO,56.81,,SUP012
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32,B,104,4.44,21.67,0.53,9,0.98,301,14.27,0.86,3/11/24,125.85,0.725,,5049.11,5.827913957,12.95987286,Medium,123.49,38.8575,0,YES,NO,YES,154.01,,SUP012
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,11/18/24,24.78,0.392,,7163,14.57725948,14.12429379,High,37,48.1635,7,NO,YES,NO,0.77,,SUP001
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,4/28/24,227.62,0.526,,22178.8,8.298368298,10.94807135,Medium,452.12,11.17432579,0,YES,NO,YES,72.68,,SUP008
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1,475,12.42,0.67,2/4/24,153.3,0.777,,10956.48,6.07518797,9.223744292,Medium,46.46,16.04937791,0,YES,NO,YES,79.45,,SUP003
