sales_order_id,customer_id,item_id,order_date,quantity_ordered,unit_price,sales_revenue,order_status
SO00052,CUST0311,ITM12797,2024-03-25,9,134.95,1214.55,Fulfilled
SO00053,CUST0387,ITM11653,2024-08-04,7,75.96,531.72,Backordered
SO00054,CUST0205,ITM12355,2024-12-19,7,53.96,377.72,Fulfilled
SO00055,CUST0461,ITM11897,2024-12-09,21,189.49,3979.29,Fulfilled
SO00056,CUST0116,ITM11891,2024-09-21,15,125.47,1882.05,Fulfilled
SO00057,CUST0284,ITM12697,2024-02-02,11,184.99,2034.89,Fulfilled
SO00058,CUST0037,ITM10472,2024-04-27,19,178.1,3383.9,Fulfilled
SO00059,CUST0035,ITM10843,2024-12-28,21,185.23,3889.83,Fulfilled
SO00060,CUST0122,ITM12138,2024-01-17,11,61.83,680.13,Fulfilled
SO00061,CUST0277,ITM12016,2024-05-22,22,159.83,3516.26,Fulfilled
SO00062,CUST0293,ITM12186,2024-03-08,24,158.59,3806.16,Backordered
SO00063,CUST0243,ITM11833,2024-10-22,16,14.74,235.84,Fulfilled
SO00064,CUST0338,ITM12457,2024-07-27,7,66.82,467.74,Fulfilled
SO00065,CUST0240,ITM10340,2024-08-08,12,70.1,841.2,Fulfilled
SO00066,CUST0331,ITM12536,2024-01-28,22,148.19,3260.18,Fulfilled
SO00067,CUST0174,ITM10387,2024-02-20,2,109.91,219.82,Fulfilled
SO00068,CUST0275,ITM11338,2024-02-25,8,52.53,420.24,Fulfilled
SO00069,CUST0143,ITM10990,2024-08-17,5,94.77,473.85,Fulfilled
SO00070,CUST0039,ITM10289,2024-08-24,8,45.31,362.48,Fulfilled
SO00071,CUST0334,ITM11984,2024-08-14,18,176.56,3178.08,Fulfilled
SO00072,CUST0475,ITM12308,2024-10-03,1,129.71,129.71,Backordered
SO00073,CUST0247,ITM12537,2024-05-01,6,71.78,430.68,Fulfilled
SO00074,CUST0085,ITM11045,2024-04-19,13,58.72,763.36,Backordered
SO00075,CUST0136,ITM10602,2024-07-13,1,167.47,167.47,Cancelled
SO00076,CUST0491,ITM10659,2024-08-20,10,193.71,1937.1,Fulfilled
SO00077,CUST0080,ITM11036,2024-10-11,22,82.0,1804.0,Fulfilled
SO00078,CUST0030,ITM12347,2024-04-07,10,25.61,256.1,Fulfilled
SO00079,CUST0383,ITM12272,2024-10-23,24,180.96,4343.04,Fulfilled
SO00080,CUST0245,ITM10854,2024-06-09,2,50.51,101.02,Fulfilled
SO00081,CUST0492,ITM10637,2024-09-14,17,154.04,2618.68,Fulfilled
SO00082,CUST0036,ITM10827,2024-09-17,3,122.51,367.53,Fulfilled
SO00083,CUST0121,ITM12061,2024-10-31,3,116.64,349.92,Fulfilled
SO00084,CUST0292,ITM10328,2024-07-25,4,132.4,529.6,Backordered
SO00085,CUST0318,ITM11939,2024-05-06,19,95.16,1808.04,Fulfilled
SO00086,CUST0290,ITM10651,2024-02-11,14,56.89,796.46,Fulfilled
SO00087,CUST0105,ITM10749,2024-09-24,11,125.12,1376.32,Backordered
SO00088,CUST0136,ITM12871,2024-12-08,23,86.88,1998.24,Fulfilled
SO00089,CUST0154,ITM12261,2024-07-21,5,41.67,208.35,Fulfilled
SO00090,CUST0480,ITM10896,2024-08-22,11,52.12,573.32,Backordered
SO00091,CUST0289,ITM11754,2024-02-07,1,24.81,24.81,Fulfilled
SO00092,CUST0260,ITM11183,2024-02-21,3,95.42,286.26,Fulfilled
SO00093,CUST0452,ITM10977,2024-05-15,5,118.61,593.05,Backordered
SO00094,CUST0081,ITM11902,2024-02-05,8,148.83,1190.64,Fulfilled
SO00095,CUST0314,ITM11048,2024-08-12,18,148.97,2681.46,Fulfilled
SO00096,CUST0419,ITM12228,2024-11-30,17,91.48,1555.16,Fulfilled
SO00097,CUST0054,ITM11028,2024-10-10,10,177.89,1778.9,Backordered
SO00098,CUST0055,ITM12634,2024-03-09,9,49.82,448.38,Fulfilled
SO00099,CUST0310,ITM12326,2024-10-10,5,141.1,705.5,Fulfilled
SO00100,CUST0352,ITM12666,2024-04-17,23,108.26,2489.98,Fulfilled
SO00101,CUST0129,ITM11760,2024-11-20,9,57.9,521.1,Fulfilled
SO00102,CUST0425,ITM12296,2024-01-27,3,109.1,327.3,Fulfilled
SO00103,CUST0395,ITM12414,2024-05-21,2,159.92,319.84,Fulfilled
SO00104,CUST0083,ITM13070,2024-03-07,21,81.77,1717.17,Cancelled
SO00105,CUST0288,ITM11174,2024-08-14,18,81.97,1475.46,Fulfilled
SO00106,CUST0453,ITM11554,2024-01-05,4,167.33,669.32,Fulfilled
SO00107,CUST0428,ITM11717,2024-12-19,5,50.58,252.9,Fulfilled
SO00108,CUST0221,ITM11602,2024-07-08,19,120.12,2282.28,Fulfilled
SO00109,CUST0461,ITM12535,2024-03-06,2,62.11,124.22,Fulfilled
SO00110,CUST0128,ITM11591,2024-01-21,12,115.43,1385.16,Fulfilled
SO00111,CUST0287,ITM10387,2024-12-07,4,109.91,439.64,Fulfilled
SO00112,CUST0474,ITM12867,2024-07-27,20,159.03,3180.6,Fulfilled
SO00113,CUST0416,ITM11030,2024-05-01,6,159.16,954.96,Cancelled
SO00114,CUST0378,ITM12156,2024-03-31,14,110.04,1540.56,Fulfilled
SO00115,CUST0443,ITM12715,2024-06-19,14,146.48,2050.72,Fulfilled
SO00116,CUST0360,ITM12043,2024-05-07,9,88.27,794.43,Fulfilled
SO00117,CUST0440,ITM10541,2024-02-25,13,111.24,1446.12,Fulfilled
SO00118,CUST0471,ITM12869,2024-08-28,8,24.18,193.44,Fulfilled
SO00119,CUST0408,ITM12370,2024-08-23,12,97.34,1168.08,Fulfilled
SO00120,CUST0099,ITM11859,2024-04-26,8,128.58,1028.64,Fulfilled
SO00121,CUST0036,ITM12011,2024-07-23,11,165.05,1815.55,Fulfilled
SO00122,CUST0205,ITM12349,2024-05-22,12,162.65,1951.8,Fulfilled
SO00123,CUST0015,ITM12511,2024-12-13,18,147.62,2657.16,Fulfilled
SO00124,CUST0493,ITM11384,2024-02-29,9,162.31,1460.79,Fulfilled
SO00125,CUST0223,ITM12938,2024-05-15,2,162.01,324.02,Fulfilled
SO00126,CUST0224,ITM12759,2024-06-25,24,13.33,319.92,Fulfilled
SO00127,CUST0461,ITM12594,2024-11-06,17,157.04,2669.68,Fulfilled
SO00128,CUST0363,ITM12421,2024-10-22,7,137.96,965.72,Fulfilled
SO00129,CUST0413,ITM12965,2024-08-11,1,88.36,88.36,Fulfilled
SO00130,CUST0380,ITM12054,2024-10-02,22,19.26,423.72,Fulfilled
SO00131,CUST0036,ITM11806,2024-12-09,7,137.82,964.74,Fulfilled
SO00132,CUST0340,ITM12853,2024-12-06,11,77.42,851.62,Fulfilled
SO00133,CUST0260,ITM10943,2024-03-04,24,111.32,2671.68,Backordered
SO00134,CUST0207,ITM10229,2024-06-07,22,199.51,4389.22,Fulfilled
SO00135,CUST0099,ITM12671,2024-12-22,10,122.46,1224.6,Fulfilled
SO00136,CUST0347,ITM12990,2024-08-03,22,145.83,3208.26,Backordered
SO00137,CUST0208,ITM12069,2024-03-30,20,176.58,3531.6,Fulfilled
SO00138,CUST0108,ITM12180,2024-10-07,1,26.61,26.61,Fulfilled
SO00139,CUST0165,ITM12099,2024-08-08,19,175.33,3331.27,Fulfilled
SO00140,CUST0110,ITM11199,2024-08-26,15,86.58,1298.7,Fulfilled
SO00141,CUST0492,ITM12855,2024-09-18,16,44.93,718.88,Fulfilled
SO00142,CUST0264,ITM12234,2024-03-27,22,82.93,1824.46,Fulfilled
SO00143,CUST0048,ITM10993,2024-12-05,21,14.17,297.57,Fulfilled
SO00144,CUST0413,ITM10788,2024-04-30,22,164.44,3617.68,Fulfilled
SO00145,CUST0126,ITM11532,2024-04-11,5,134.97,674.85,Fulfilled
SO00146,CUST0038,ITM11481,2024-08-31,20,123.1,2462.0,Fulfilled
SO00147,CUST0295,ITM11106,2024-08-21,14,145.22,2033.08,Backordered
SO00148,CUST0254,ITM10976,2024-04-09,23,134.08,3083.84,Fulfilled
SO00149,CUST0353,ITM11416,2024-07-23,8,17.58,140.64,Fulfilled
SO00150,CUST0454,ITM13096,2024-01-03,25,161.86,4046.5,Fulfilled
SO00151,CUST0091,ITM11222,2024-02-24,25,112.48,2812.0,Fulfilled
SO00152,CUST0286,ITM12078,2024-12-22,17,32.8,557.6,Fulfilled
SO00153,CUST0411,ITM11836,2024-05-07,4,143.94,575.76,Fulfilled
SO00154,CUST0287,ITM11042,2024-08-25,22,195.54,4301.88,Fulfilled
SO00155,CUST0457,ITM11285,2024-10-31,11,73.62,809.82,Backordered
SO00156,CUST0457,ITM11786,2024-08-14,20,64.17,1283.4,Fulfilled
SO00157,CUST0281,ITM12192,2024-09-15,14,61.69,863.66,Fulfilled
SO00158,CUST0244,ITM11998,2024-08-16,6,147.62,885.72,Fulfilled
SO00159,CUST0431,ITM11518,2024-08-18,9,180.92,1628.28,Fulfilled
SO00160,CUST0267,ITM12982,2024-11-22,9,16.04,144.36,Fulfilled
SO00161,CUST0226,ITM11861,2024-09-05,21,126.66,2659.86,Fulfilled
SO00162,CUST0140,ITM10263,2024-02-09,23,133.71,3075.33,Fulfilled
SO00163,CUST0042,ITM10291,2024-06-20,11,178.54,1963.94,Backordered
SO00164,CUST0356,ITM10379,2024-03-11,5,88.78,443.9,Fulfilled
SO00165,CUST0213,ITM12505,2024-03-19,23,73.23,1684.29,Fulfilled
SO00166,CUST0213,ITM13093,2024-07-27,11,120.11,1321.21,Fulfilled
SO00167,CUST0200,ITM11478,2024-02-01,7,54.13,378.91,Fulfilled
SO00168,CUST0451,ITM11923,2024-10-26,23,84.8,1950.4,Fulfilled
SO00169,CUST0483,ITM10333,2024-10-21,13,31.24,406.12,Fulfilled
SO00170,CUST0437,ITM10487,2024-06-29,10,136.16,1361.6,Fulfilled
SO00171,CUST0280,ITM10097,2024-08-02,18,71.11,1279.98,Fulfilled
SO00172,CUST0140,ITM12632,2024-11-04,8,189.99,1519.92,Fulfilled
SO00173,CUST0173,ITM11774,2024-08-11,16,178.5,2856.0,Fulfilled
SO00174,CUST0371,ITM10864,2024-12-08,22,112.17,2467.74,Fulfilled
SO00175,CUST0319,ITM12067,2024-03-25,15,112.65,1689.75,Backordered
SO00176,CUST0304,ITM10448,2024-09-30,1,10.95,10.95,Backordered
SO00177,CUST0330,ITM13091,2024-10-15,22,177.29,3900.38,Fulfilled
SO00178,CUST0094,ITM12579,2024-08-07,5,10.82,54.1,Fulfilled
SO00179,CUST0109,ITM10561,2024-01-26,9,180.62,1625.58,Fulfilled
SO00180,CUST0451,ITM10084,2024-08-20,11,114.55,1260.05,Fulfilled
SO00181,CUST0426,ITM13060,2024-07-13,9,46.02,414.18,Fulfilled
SO00182,CUST0241,ITM11828,2024-08-03,9,166.33,1496.97,Fulfilled
SO00183,CUST0488,ITM11462,2024-01-10,24,69.83,1675.92,Fulfilled
SO00184,CUST0400,ITM13037,2024-06-28,8,44.99,359.92,Fulfilled
SO00185,CUST0487,ITM11923,2024-11-29,2,84.8,169.6,Fulfilled
SO00186,CUST0319,ITM11366,2024-05-06,7,43.15,302.05,Fulfilled
SO00187,CUST0343,ITM10444,2024-03-19,8,120.2,961.6,Fulfilled
SO00188,CUST0239,ITM11452,2024-02-28,19,167.91,3190.29,Backordered
SO00189,CUST0086,ITM12196,2024-12-24,9,172.89,1556.01,Fulfilled
SO00190,CUST0368,ITM10234,2024-11-06,20,194.32,3886.4,Backordered
SO00191,CUST0494,ITM12603,2024-02-28,25,72.21,1805.25,Fulfilled
SO00192,CUST0476,ITM12145,2024-06-08,4,41.35,165.4,Fulfilled
SO00193,CUST0491,ITM11060,2024-06-08,19,175.27,3330.13,Fulfilled
SO00194,CUST0102,ITM12940,2024-07-11,13,104.97,1364.61,Backordered
SO00195,CUST0322,ITM12629,2024-02-08,19,93.29,1772.51,Fulfilled
SO00196,CUST0155,ITM10966,2024-05-04,4,163.85,655.4,Fulfilled
SO00197,CUST0408,ITM10039,2024-12-16,20,169.91,3398.2,Fulfilled
SO00198,CUST0220,ITM10728,2024-10-16,2,124.14,248.28,Fulfilled
SO00199,CUST0332,ITM10645,2024-12-04,12,147.58,1770.96,Fulfilled
SO00200,CUST0422,ITM11649,2024-06-23,1,107.91,107.91,Fulfilled
SO00201,CUST0186,ITM10026,2024-09-07,4,64.69,258.76,Fulfilled
SO00202,CUST0223,ITM10742,2024-11-21,15,60.35,905.25,Fulfilled
SO00203,CUST0334,ITM12229,2024-03-31,24,52.81,1267.44,Fulfilled
SO00204,CUST0276,ITM11713,2024-05-18,20,67.88,1357.6,Fulfilled
SO00205,CUST0375,ITM10762,2024-09-04,15,31.5,472.5,Fulfilled
SO00206,CUST0126,ITM11254,2024-10-30,9,106.99,962.91,Fulfilled
SO00207,CUST0125,ITM12525,2024-02-14,9,143.09,1287.81,Backordered
SO00208,CUST0195,ITM12561,2024-08-25,19,118.77,2256.63,Fulfilled
SO00209,CUST0167,ITM10887,2024-06-21,1,142.43,142.43,Fulfilled
SO00210,CUST0409,ITM10845,2024-04-03,16,170.24,2723.84,Fulfilled
SO00211,CUST0306,ITM10741,2024-05-12,11,193.73,2131.03,Fulfilled
SO00212,CUST0265,ITM13071,2024-12-25,9,75.8,682.2,Fulfilled
SO00213,CUST0209,ITM10595,2024-04-07,3,46.24,138.72,Fulfilled
SO00214,CUST0354,ITM12420,2024-09-07,18,68.95,1241.1,Fulfilled
SO00215,CUST0230,ITM11197,2024-08-31,21,147.92,3106.32,Fulfilled
SO00216,CUST0208,ITM10019,2024-01-09,3,85.94,257.82,Fulfilled
SO00217,CUST0298,ITM13132,2024-12-20,8,58.37,466.96,Fulfilled
SO00218,CUST0177,ITM12314,2024-07-07,16,130.34,2085.44,Fulfilled
SO00219,CUST0181,ITM12034,2024-08-05,24,159.77,3834.48,Fulfilled
SO00220,CUST0129,ITM12601,2024-12-25,15,197.88,2968.2,Fulfilled
SO00221,CUST0162,ITM11411,2024-04-28,4,186.32,745.28,Fulfilled
SO00222,CUST0391,ITM12411,2024-03-02,24,60.53,1452.72,Fulfilled
SO00223,CUST0379,ITM11961,2024-12-19,6,37.27,223.62,Fulfilled
SO00224,CUST0390,ITM13075,2024-09-04,9,171.83,1546.47,Fulfilled
SO00225,CUST0052,ITM12124,2024-09-25,20,105.07,2101.4,Fulfilled
SO00226,CUST0092,ITM12378,2024-04-09,10,181.84,1818.4,Fulfilled
SO00227,CUST0065,ITM13083,2024-06-03,1,138.62,138.62,Fulfilled
SO00228,CUST0284,ITM12855,2024-05-20,2,44.93,89.86,Cancelled
SO00229,CUST0327,ITM10108,2024-05-29,23,88.37,2032.51,Backordered
SO00230,CUST0294,ITM10873,2024-09-08,4,173.51,694.04,Fulfilled
SO00231,CUST0175,ITM10579,2024-05-25,16,159.48,2551.68,Fulfilled
SO00232,CUST0442,ITM13047,2024-04-04,2,119.51,239.02,Fulfilled
SO00233,CUST0206,ITM10947,2024-09-01,4,164.78,659.12,Fulfilled
SO00234,CUST0352,ITM11890,2024-09-08,3,114.89,344.67,Fulfilled
SO00235,CUST0289,ITM12587,2024-01-28,5,142.61,713.05,Fulfilled
SO00236,CUST0061,ITM12493,2024-06-04,3,119.32,357.96,Cancelled
SO00237,CUST0306,ITM12958,2024-10-12,25,32.75,818.75,Fulfilled
SO00238,CUST0195,ITM10031,2024-11-12,8,57.37,458.96,Fulfilled
SO00239,CUST0302,ITM12138,2024-08-18,15,61.83,927.45,Fulfilled
SO00240,CUST0031,ITM12675,2024-08-07,10,96.93,969.3,Fulfilled
SO00241,CUST0391,ITM11872,2024-11-08,24,23.21,557.04,Fulfilled
SO00242,CUST0339,ITM10340,2024-04-16,21,70.1,1472.1,Fulfilled
SO00243,CUST0283,ITM10801,2024-02-11,6,22.92,137.52,Fulfilled
SO00244,CUST0231,ITM10870,2024-02-08,6,145.46,872.76,Fulfilled
SO00245,CUST0017,ITM10412,2024-12-18,20,117.41,2348.2,Fulfilled
SO00246,CUST0360,ITM12914,2024-04-28,10,138.04,1380.4,Fulfilled
SO00247,CUST0474,ITM10290,2024-08-20,3,115.21,345.63,Fulfilled
SO00248,CUST0412,ITM11773,2024-05-15,21,41.93,880.53,Fulfilled
SO00249,CUST0116,ITM12171,2024-04-11,14,110.94,1553.16,Fulfilled
SO00250,CUST0424,ITM10473,2024-11-27,5,105.37,526.85,Backordered
SO00251,CUST0406,ITM12443,2024-03-13,3,180.02,540.06,Fulfilled
SO00252,CUST0292,ITM12404,2024-06-06,20,14.38,287.6,Fulfilled
SO00253,CUST0353,ITM11380,2024-05-27,15,181.18,2717.7,Fulfilled
SO00254,CUST0140,ITM11941,2024-06-04,23,11.6,266.8,Fulfilled
SO00255,CUST0042,ITM10943,2024-09-13,18,111.32,2003.76,Fulfilled
SO00256,CUST0377,ITM10333,2024-11-02,2,31.24,62.48,Backordered
SO00257,CUST0047,ITM12448,2024-06-14,20,12.92,258.4,Fulfilled
SO00258,CUST0295,ITM12619,2024-04-27,22,117.63,2587.86,Fulfilled
SO00259,CUST0345,ITM12803,2024-10-27,1,27.22,27.22,Cancelled
SO00260,CUST0388,ITM10113,2024-05-17,19,101.09,1920.71,Fulfilled
SO00261,CUST0227,ITM11649,2024-03-30,16,107.91,1726.56,Fulfilled
SO00262,CUST0224,ITM10288,2024-05-22,6,63.99,383.94,Cancelled
SO00263,CUST0241,ITM12331,2024-11-21,16,110.71,1771.36,Backordered
SO00264,CUST0344,ITM11774,2024-06-27,14,178.5,2499.0,Fulfilled
SO00265,CUST0356,ITM10482,2024-02-23,6,196.04,1176.24,Fulfilled
SO00266,CUST0206,ITM10134,2024-09-10,10,34.72,347.2,Fulfilled
SO00267,CUST0162,ITM12758,2024-10-08,2,86.16,172.32,Fulfilled
SO00268,CUST0396,ITM10351,2024-05-09,11,154.98,1704.78,Fulfilled
SO00269,CUST0001,ITM10785,2024-07-25,17,42.15,716.55,Fulfilled
SO00270,CUST0028,ITM10788,2024-12-02,18,164.44,2959.92,Fulfilled
SO00271,CUST0388,ITM11362,2024-04-06,17,11.17,189.89,Fulfilled
SO00272,CUST0027,ITM12573,2024-09-12,21,87.02,1827.42,Fulfilled
SO00273,CUST0475,ITM11515,2024-04-14,9,73.54,661.86,Fulfilled
SO00274,CUST0249,ITM11215,2024-05-27,15,149.01,2235.15,Backordered
SO00275,CUST0312,ITM11614,2024-03-03,1,125.92,125.92,Cancelled
SO00276,CUST0283,ITM12757,2024-05-02,23,70.98,1632.54,Fulfilled
SO00277,CUST0116,ITM12906,2024-01-08,18,126.94,2284.92,Fulfilled
SO00278,CUST0332,ITM11637,2024-02-28,15,112.9,1693.5,Backordered
SO00279,CUST0150,ITM11908,2024-03-19,16,175.66,2810.56,Backordered
SO00280,CUST0428,ITM10738,2024-09-17,23,89.14,2050.22,Fulfilled
SO00281,CUST0283,ITM13076,2024-09-04,16,55.91,894.56,Fulfilled
SO00282,CUST0307,ITM12843,2024-03-15,13,77.85,1012.05,Fulfilled
SO00283,CUST0443,ITM12365,2024-09-17,24,58.03,1392.72,Fulfilled
SO00284,CUST0438,ITM10966,2024-02-05,9,163.85,1474.65,Fulfilled
SO00285,CUST0260,ITM11899,2024-07-31,11,19.94,219.34,Backordered
SO00286,CUST0153,ITM13029,2024-05-16,1,163.8,163.8,Fulfilled
SO00287,CUST0251,ITM10780,2024-10-27,19,150.53,2860.07,Cancelled
SO00288,CUST0177,ITM11884,2024-03-17,15,94.76,1421.4,Fulfilled
SO00289,CUST0194,ITM10072,2024-06-19,18,103.7,1866.6,Fulfilled
SO00290,CUST0358,ITM12685,2024-08-21,11,97.0,1067.0,Fulfilled
SO00291,CUST0439,ITM13180,2024-05-02,19,139.26,2645.94,Fulfilled
SO00292,CUST0243,ITM11379,2024-07-29,2,61.95,123.9,Fulfilled
SO00293,CUST0340,ITM11524,2024-12-27,13,96.0,1248.0,Fulfilled
SO00294,CUST0019,ITM10320,2024-11-29,5,69.44,347.2,Fulfilled
SO00295,CUST0170,ITM12126,2024-03-05,17,63.32,1076.44,Backordered
SO00296,CUST0467,ITM11894,2024-02-21,15,83.15,1247.25,Fulfilled
SO00297,CUST0210,ITM12149,2024-08-21,1,98.25,98.25,Fulfilled
SO00298,CUST0401,ITM11443,2024-12-01,5,77.82,389.1,Fulfilled
SO00299,CUST0204,ITM10981,2024-05-15,11,184.04,2024.44,Fulfilled
SO00300,CUST0437,ITM10305,2024-11-28,3,150.84,452.52,Fulfilled
SO00301,CUST0163,ITM12103,2024-12-11,18,49.93,898.74,Fulfilled
SO00302,CUST0250,ITM11239,2024-11-16,23,20.08,461.84,Backordered
SO00303,CUST0121,ITM12586,2024-10-04,2,141.17,282.34,Fulfilled
SO00304,CUST0117,ITM12174,2024-11-19,22,109.74,2414.28,Backordered
SO00305,CUST0390,ITM10923,2024-02-16,14,139.15,1948.1,Cancelled
SO00306,CUST0228,ITM10307,2024-11-20,23,116.24,2673.52,Fulfilled
SO00307,CUST0015,ITM10817,2024-03-26,23,120.5,2771.5,Fulfilled
SO00308,CUST0151,ITM12835,2024-01-24,11,158.93,1748.23,Fulfilled
SO00309,CUST0126,ITM10655,2024-07-02,12,24.63,295.56,Fulfilled
SO00310,CUST0406,ITM10828,2024-09-28,14,116.0,1624.0,Fulfilled
SO00311,CUST0313,ITM11831,2024-04-02,6,106.23,637.38,Fulfilled
SO00312,CUST0255,ITM10619,2024-07-14,20,87.39,1747.8,Fulfilled
SO00313,CUST0327,ITM10042,2024-10-25,5,39.38,196.9,Fulfilled
SO00314,CUST0005,ITM11968,2024-05-10,15,173.41,2601.15,Fulfilled
SO00315,CUST0081,ITM10874,2024-08-26,10,189.61,1896.1,Fulfilled
SO00316,CUST0301,ITM12406,2024-02-07,15,72.87,1093.05,Backordered
SO00317,CUST0354,ITM13140,2024-06-02,21,194.32,4080.72,Backordered
SO00318,CUST0102,ITM11926,2024-05-08,15,122.35,1835.25,Fulfilled
SO00319,CUST0196,ITM10724,2024-07-15,16,148.17,2370.72,Fulfilled
SO00320,CUST0359,ITM11201,2024-10-19,12,29.04,348.48,Fulfilled
SO00321,CUST0338,ITM10168,2024-05-31,1,170.35,170.35,Cancelled
SO00322,CUST0443,ITM10902,2024-07-21,9,95.03,855.27,Fulfilled
SO00323,CUST0026,ITM11765,2024-12-17,25,77.25,1931.25,Fulfilled
SO00324,CUST0463,ITM12436,2024-11-06,24,180.39,4329.36,Fulfilled
SO00325,CUST0311,ITM12335,2024-05-26,25,11.87,296.75,Fulfilled
SO00326,CUST0318,ITM11756,2024-06-29,8,195.63,1565.04,Fulfilled
SO00327,CUST0393,ITM12097,2024-05-08,22,110.54,2431.88,Fulfilled
SO00328,CUST0322,ITM10630,2024-12-03,22,53.28,1172.16,Fulfilled
SO00329,CUST0159,ITM12213,2024-02-19,21,16.0,336.0,Fulfilled
SO00330,CUST0375,ITM12065,2024-08-13,2,89.03,178.06,Fulfilled
SO00331,CUST0168,ITM12368,2024-03-08,3,70.24,210.72,Backordered
SO00332,CUST0403,ITM11727,2024-07-31,6,116.94,701.64,Fulfilled
SO00333,CUST0468,ITM11370,2024-10-03,12,161.44,1937.28,Fulfilled
SO00334,CUST0423,ITM11519,2024-05-19,6,178.46,1070.76,Fulfilled
SO00335,CUST0174,ITM11574,2024-09-03,10,163.25,1632.5,Fulfilled
SO00336,CUST0073,ITM11756,2024-02-28,15,195.63,2934.45,Backordered
SO00337,CUST0204,ITM12972,2024-04-25,22,22.74,500.28,Fulfilled
