po_id,supplier_id,item_id,order_date,expected_delivery_date,actual_delivery_date,order_quantity,unit_cost,total_purchase_cost,po_status
PO00027,SUP007,ITM11474,8/27/24,9/2/24,9/4/24,931,39.68,36942.08,Delivered
PO00028,SUP006,ITM11487,12/14/24,12/22/24,12/25/24,956,77.29,73889.24,Delivered
PO00029,SUP005,ITM11662,5/16/24,5/21/24,,398,13.79,5488.42,Open
PO00030,SUP009,ITM11563,8/10/24,8/13/24,8/11/24,789,127.95,100952.55,Delivered
PO00031,SUP012,ITM12539,5/14/24,5/19/24,,830,31.71,26319.3,Cancelled
PO00032,SUP009,ITM12660,2/24/24,2/29/24,3/8/24,911,86.75,79029.25,Delayed
PO00033,SUP010,ITM12161,11/7/24,11/9/24,11/9/24,830,39.26,32585.8,Delivered
PO00034,SUP008,ITM10107,9/28/24,10/7/24,10/20/24,381,34.61,13186.41,Delayed
PO00035,SUP001,ITM11947,2/27/24,3/5/24,3/13/24,295,11.79,3478.05,Delayed
PO00036,SUP001,ITM10146,10/17/24,10/26/24,10/31/24,799,103.25,82496.75,Delayed
PO00037,SUP013,ITM12306,2/5/24,2/10/24,,595,86.71,51592.45,Cancelled
PO00038,SUP005,ITM12094,3/6/24,3/11/24,3/13/24,219,122.18,26757.42,Delivered
PO00039,SUP001,ITM11799,11/6/24,11/9/24,11/8/24,602,113.81,68513.62,Delivered
PO00040,SUP006,ITM10507,12/19/24,12/22/24,12/22/24,458,113.36,51918.88,Delivered
PO00041,SUP013,ITM12118,11/28/24,11/30/24,12/2/24,512,97.28,49807.36,Delivered
PO00042,SUP014,ITM12495,4/25/24,4/30/24,4/28/24,652,77.86,50764.72,Delivered
PO00043,SUP007,ITM11687,10/28/24,11/5/24,11/3/24,774,66.67,51602.58,Delivered
PO00044,SUP008,ITM12240,4/27/24,5/1/24,4/29/24,930,113.34,105406.2,Delivered
PO00045,SUP010,ITM11958,9/20/24,9/28/24,10/1/24,547,80.83,44214.01,Delivered
PO00046,SUP006,ITM11499,3/8/24,3/11/24,3/13/24,640,34.58,22131.2,Delivered
PO00047,SUP013,ITM10826,8/30/24,9/5/24,,244,35.42,8642.48,Open
PO00048,SUP009,ITM11170,12/3/24,12/12/24,12/13/24,470,59.85,28129.5,Delivered
PO00049,SUP014,ITM11707,1/28/24,2/3/24,2/6/24,150,59.67,8950.5,Delivered
PO00050,SUP014,ITM10703,6/22/24,6/25/24,,161,70.97,11426.17,Open
PO00051,SUP002,ITM11134,4/7/24,4/15/24,4/14/24,482,47.04,22673.28,Delivered
PO00052,SUP008,ITM12880,8/24/24,8/30/24,8/28/24,503,100.78,50692.34,Delivered
PO00053,SUP009,ITM11105,10/8/24,10/12/24,10/15/24,603,117.17,70653.51,Delivered
PO00054,SUP011,ITM12549,2/17/24,2/22/24,2/29/24,220,33.9,7458,Delayed
PO00055,SUP006,ITM12321,9/3/24,9/12/24,9/13/24,974,23.26,22655.24,Delivered
PO00056,SUP008,ITM12631,7/13/24,7/18/24,7/19/24,321,80.51,25843.71,Delivered
PO00057,SUP006,ITM12361,8/20/24,8/27/24,8/30/24,798,117.85,94044.3,Delivered
PO00058,SUP004,ITM10241,10/11/24,10/17/24,10/18/24,208,79.74,16585.92,Delivered
PO00059,SUP006,ITM10170,4/21/24,4/26/24,5/9/24,803,69.36,55696.08,Delayed
PO00060,SUP011,ITM11043,6/9/24,6/17/24,6/19/24,538,139.5,75051,Delivered
PO00061,SUP002,ITM12921,9/28/24,10/7/24,10/9/24,132,83.36,11003.52,Delivered
PO00062,SUP010,ITM12151,2/5/24,2/10/24,2/13/24,932,65.56,61101.92,Delivered
PO00063,SUP014,ITM11846,3/2/24,3/11/24,3/24/24,302,11.57,3494.14,Delayed
PO00064,SUP006,ITM12438,1/21/24,1/24/24,1/25/24,723,118.94,85993.62,Delivered
PO00065,SUP006,ITM12903,9/24/24,10/2/24,10/2/24,259,18.14,4698.26,Delivered
PO00066,SUP002,ITM11933,6/9/24,6/15/24,6/16/24,184,102.92,18937.28,Delivered
PO00067,SUP004,ITM10818,6/2/24,6/7/24,6/5/24,59,111.22,6561.98,Delivered
PO00068,SUP010,ITM11923,10/15/24,10/24/24,,125,60,7500,Cancelled
PO00069,SUP001,ITM11682,9/16/24,9/21/24,9/21/24,952,55.96,53273.92,Delivered
PO00070,SUP009,ITM12976,5/5/24,5/13/24,5/12/24,498,73.37,36538.26,Delivered
PO00071,SUP001,ITM11440,12/26/24,1/3/25,1/6/25,591,53.87,31837.17,Delivered
PO00072,SUP007,ITM12871,10/10/24,10/17/24,10/20/24,156,68.44,10676.64,Delivered
PO00073,SUP001,ITM11285,3/9/24,3/16/24,3/14/24,810,52.32,42379.2,Delivered
PO00074,SUP012,ITM12848,5/19/24,5/27/24,5/26/24,784,133.65,104781.6,Delivered
PO00075,SUP001,ITM10498,12/17/24,12/19/24,12/19/24,567,48.09,27267.03,Delivered
PO00076,SUP006,ITM10046,1/27/24,2/3/24,2/4/24,899,51.88,46640.12,Delivered
PO00077,SUP012,ITM11696,1/2/24,1/7/24,1/6/24,702,97.43,68395.86,Delivered
PO00078,SUP001,ITM11473,3/23/24,3/29/24,3/31/24,772,8.1,6253.2,Delivered
PO00079,SUP015,ITM11290,1/5/24,1/9/24,1/12/24,975,100.3,97792.5,Delivered
PO00080,SUP007,ITM11365,1/19/24,1/23/24,,646,54.25,35045.5,Open
PO00081,SUP001,ITM12941,8/8/24,8/13/24,8/13/24,423,129.41,54740.43,Delivered
PO00082,SUP011,ITM10986,1/21/24,1/30/24,2/6/24,748,57.48,42995.04,Delayed
PO00083,SUP002,ITM11302,2/22/24,3/1/24,3/3/24,955,114.75,109586.25,Delivered
PO00084,SUP012,ITM11382,11/13/24,11/18/24,11/17/24,935,46.07,43075.45,Delivered
PO00085,SUP003,ITM11545,3/31/24,4/9/24,4/13/24,233,60.82,14171.06,Delayed
PO00086,SUP005,ITM12893,6/19/24,6/25/24,,471,89.76,42276.96,Open
PO00087,SUP012,ITM11273,5/7/24,5/13/24,5/16/24,160,106.73,17076.8,Delivered
PO00088,SUP007,ITM12146,1/20/24,1/23/24,,277,89.98,24924.46,Open
PO00089,SUP010,ITM10392,8/23/24,8/26/24,8/25/24,278,70.06,19476.68,Delivered
PO00090,SUP006,ITM11620,4/8/24,4/14/24,4/14/24,935,86.11,80512.85,Delivered
PO00091,SUP014,ITM11793,5/22/24,5/29/24,5/31/24,459,91.77,42122.43,Delivered
PO00092,SUP005,ITM10977,10/1/24,10/5/24,10/3/24,168,91.97,15450.96,Delivered
PO00093,SUP007,ITM12069,5/13/24,5/22/24,5/22/24,89,109.78,9770.42,Delivered
PO00094,SUP015,ITM10686,8/10/24,8/15/24,8/15/24,496,15.35,7613.6,Delivered
PO00095,SUP002,ITM13032,9/18/24,9/24/24,9/26/24,244,111.53,27213.32,Delivered
PO00096,SUP015,ITM10577,12/28/24,1/5/25,1/7/25,997,49.45,49301.65,Delivered
PO00097,SUP014,ITM12818,12/17/24,12/22/24,12/25/24,804,57.15,45948.6,Delivered
PO00098,SUP006,ITM12651,7/5/24,7/9/24,7/12/24,992,90.72,89994.24,Delivered
PO00099,SUP015,ITM11821,6/9/24,6/18/24,6/16/24,787,92.48,72781.76,Delivered
PO00100,SUP007,ITM12256,9/16/24,9/24/24,9/25/24,384,128.84,49474.56,Delivered
PO00101,SUP006,ITM11036,5/31/24,6/7/24,6/6/24,480,60.1,28848,Delivered
PO00102,SUP015,ITM10015,7/13/24,7/18/24,7/17/24,680,141.31,96090.8,Delivered
PO00103,SUP013,ITM11394,7/26/24,7/31/24,7/29/24,361,104.98,37897.78,Delivered
PO00104,SUP003,ITM12723,8/8/24,8/14/24,,671,121.5,81526.5,Open
PO00105,SUP008,ITM11431,8/26/24,9/2/24,9/5/24,268,21.59,5786.12,Delivered
PO00106,SUP006,ITM12756,3/27/24,4/3/24,4/3/24,577,24.98,14413.46,Delivered
PO00107,SUP009,ITM13101,11/13/24,11/18/24,11/17/24,738,86.21,63622.98,Delivered
PO00108,SUP015,ITM10044,4/11/24,4/13/24,4/11/24,300,85.18,25554,Delivered
PO00109,SUP012,ITM13183,11/8/24,11/13/24,,124,29.09,3607.16,Open
PO00110,SUP012,ITM13000,11/18/24,11/25/24,11/28/24,763,68.51,52273.13,Delivered
PO00111,SUP009,ITM11767,7/23/24,7/31/24,8/3/24,754,55.72,42012.88,Delivered
PO00112,SUP013,ITM10234,2/24/24,3/4/24,,274,123.43,33819.82,Open
PO00113,SUP015,ITM10277,12/22/24,12/27/24,12/25/24,620,20.79,12889.8,Delivered
PO00114,SUP015,ITM12611,3/3/24,3/7/24,3/8/24,733,104.49,76591.17,Delivered
PO00115,SUP011,ITM12265,10/13/24,10/20/24,10/21/24,677,10.51,7115.27,Delivered
PO00116,SUP003,ITM11288,9/15/24,9/21/24,9/23/24,506,93.75,47437.5,Delivered
PO00117,SUP013,ITM12972,8/31/24,9/9/24,9/8/24,910,16.54,15051.4,Delivered
PO00118,SUP006,ITM10356,9/23/24,9/29/24,9/28/24,331,17.08,5653.48,Delivered
PO00119,SUP003,ITM10235,12/31/24,1/3/25,1/3/25,393,127.78,50217.54,Delivered
PO00120,SUP001,ITM10223,10/3/24,10/9/24,10/8/24,286,20.08,5742.88,Delivered
PO00121,SUP015,ITM10044,3/19/24,3/21/24,3/19/24,474,72.85,34530.9,Delivered
PO00122,SUP015,ITM11921,10/4/24,10/7/24,10/5/24,261,79.8,20827.8,Delivered
PO00123,SUP004,ITM11500,7/18/24,7/23/24,8/5/24,762,16.75,12763.5,Delayed
PO00124,SUP002,ITM10806,10/21/24,10/27/24,10/25/24,410,120.7,49487,Delivered
PO00125,SUP009,ITM12083,7/18/24,7/25/24,,905,74.09,67051.45,Open
PO00126,SUP014,ITM11771,10/6/24,10/13/24,,969,115.99,112394.31,Open
PO00127,SUP004,ITM12647,4/22/24,4/28/24,4/29/24,79,47.7,3768.3,Delivered
PO00128,SUP001,ITM12838,12/8/24,12/10/24,12/11/24,791,69.44,54927.04,Delivered
PO00129,SUP009,ITM13101,8/27/24,9/1/24,9/14/24,596,78.83,46982.68,Delayed
PO00130,SUP010,ITM12768,7/20/24,7/23/24,7/26/24,77,104.82,8071.14,Delivered
PO00131,SUP006,ITM11903,8/7/24,8/11/24,8/12/24,236,109.21,25773.56,Delivered
PO00132,SUP008,ITM12501,7/13/24,7/21/24,7/22/24,384,66.26,25443.84,Delivered
PO00133,SUP012,ITM12325,7/13/24,7/16/24,7/17/24,308,52.64,16213.12,Delivered
PO00134,SUP002,ITM10057,8/28/24,9/5/24,9/7/24,103,126.34,13013.02,Delivered
PO00135,SUP015,ITM10390,6/28/24,7/6/24,7/4/24,849,26.5,22498.5,Delivered
PO00136,SUP013,ITM10318,1/21/24,1/30/24,,303,78.58,23809.74,Open
PO00137,SUP006,ITM12215,1/11/24,1/16/24,1/15/24,179,52.6,9415.4,Delivered
PO00138,SUP008,ITM12367,2/28/24,3/1/24,2/29/24,526,104.59,55014.34,Delivered
PO00139,SUP015,ITM10323,7/7/24,7/12/24,7/14/24,815,52.7,42950.5,Delivered
PO00140,SUP006,ITM11428,3/24/24,3/26/24,3/31/24,642,99.05,63590.1,Delayed
PO00141,SUP013,ITM13129,6/8/24,6/13/24,6/14/24,456,81.94,37364.64,Delivered
PO00142,SUP014,ITM10212,4/11/24,4/19/24,4/22/24,900,36.4,32760,Delivered
PO00143,SUP015,ITM10786,2/22/24,2/28/24,2/28/24,920,57.83,53203.6,Delivered
PO00144,SUP006,ITM12977,3/2/24,3/4/24,,629,10.46,6579.34,Open
PO00145,SUP008,ITM11772,6/26/24,6/30/24,7/3/24,429,94.32,40463.28,Delivered
PO00146,SUP008,ITM10663,11/27/24,12/4/24,12/5/24,892,102.84,91733.28,Delivered
PO00147,SUP007,ITM10248,8/9/24,8/17/24,8/31/24,962,69.39,66753.18,Delayed
PO00148,SUP006,ITM10286,12/28/24,1/4/25,1/3/25,801,88.7,71048.7,Delivered
PO00149,SUP010,ITM13160,11/29/24,12/7/24,12/9/24,843,13.71,11557.53,Delivered
PO00150,SUP001,ITM13042,8/11/24,8/14/24,,656,112.63,73885.28,Open
PO00151,SUP014,ITM11483,5/5/24,5/11/24,,138,20.45,2822.1,Open
PO00152,SUP015,ITM12226,8/18/24,8/27/24,8/28/24,633,109.5,69313.5,Delivered
PO00153,SUP009,ITM12129,7/13/24,7/15/24,7/16/24,921,65.3,60141.3,Delivered
PO00154,SUP006,ITM12540,9/6/24,9/9/24,9/9/24,398,57.49,22881.02,Delivered
PO00155,SUP004,ITM11833,11/1/24,11/8/24,11/8/24,619,8.87,5490.53,Delivered
PO00156,SUP015,ITM11675,4/7/24,4/10/24,4/13/24,466,38.03,17721.98,Delivered
PO00157,SUP003,ITM13192,5/3/24,5/8/24,5/11/24,778,80.45,62590.1,Delivered
PO00158,SUP007,ITM12786,1/9/24,1/12/24,1/11/24,464,43.13,20012.32,Delivered
PO00159,SUP015,ITM11901,6/5/24,6/11/24,6/11/24,534,8.98,4795.32,Delivered
PO00160,SUP004,ITM12820,6/25/24,7/2/24,7/5/24,613,36.94,22644.22,Delivered
PO00161,SUP004,ITM10177,12/25/24,12/31/24,12/31/24,307,123.56,37932.92,Delivered
PO00162,SUP015,ITM11901,4/8/24,4/14/24,4/17/24,598,9.99,5974.02,Delivered
PO00163,SUP003,ITM10410,12/19/24,12/27/24,12/26/24,806,40.86,32933.16,Delivered
PO00164,SUP007,ITM10262,10/28/24,11/6/24,,587,59.48,34914.76,Cancelled
PO00165,SUP005,ITM12504,2/21/24,2/23/24,,353,110.87,39137.11,Open
PO00166,SUP001,ITM11947,4/1/24,4/8/24,4/11/24,596,12.05,7181.8,Delivered
PO00167,SUP009,ITM11411,1/24/24,1/27/24,,616,122.68,75570.88,Cancelled
PO00168,SUP001,ITM11013,3/5/24,3/12/24,3/13/24,155,89.83,13923.65,Delivered
PO00169,SUP010,ITM11412,10/20/24,10/28/24,10/29/24,501,48.44,24268.44,Delivered
PO00170,SUP005,ITM11859,1/27/24,1/30/24,1/31/24,166,98.29,16316.14,Delivered
PO00171,SUP003,ITM12852,7/24/24,7/29/24,7/31/24,694,78.1,54201.4,Delivered
PO00172,SUP014,ITM11743,3/18/24,3/26/24,3/28/24,361,76.23,27519.03,Delivered
PO00173,SUP002,ITM10010,5/7/24,5/9/24,5/10/24,670,135.57,90831.9,Delivered
PO00174,SUP009,ITM12291,11/12/24,11/16/24,11/18/24,439,48.89,21462.71,Delivered
PO00175,SUP002,ITM13048,8/14/24,8/18/24,8/20/24,489,79.79,39017.31,Delivered
PO00176,SUP015,ITM12506,11/13/24,11/21/24,11/24/24,151,147,22197,Delivered
PO00177,SUP005,ITM12995,4/16/24,4/19/24,4/19/24,726,72.96,52968.96,Delivered
PO00178,SUP010,ITM12150,5/2/24,5/6/24,5/4/24,210,9.53,2001.3,Delivered
PO00179,SUP010,ITM11243,8/18/24,8/23/24,8/24/24,348,119.26,41502.48,Delivered
PO00180,SUP006,ITM11167,5/27/24,5/31/24,6/3/24,930,110.58,102839.4,Delivered
PO00181,SUP004,ITM12283,12/17/24,12/26/24,12/26/24,856,75.18,64354.08,Delivered
PO00182,SUP002,ITM11486,10/28/24,10/31/24,10/30/24,485,104.97,50910.45,Delivered
PO00183,SUP011,ITM11033,4/25/24,4/29/24,4/29/24,896,75.46,67612.16,Delivered
PO00184,SUP002,ITM13032,1/31/24,2/6/24,2/6/24,659,128.46,84655.14,Delivered
PO00185,SUP010,ITM12187,10/18/24,10/20/24,10/31/24,177,31.78,5625.06,Delayed
PO00186,SUP005,ITM11230,6/4/24,6/13/24,6/13/24,562,83.12,46713.44,Delivered
PO00187,SUP005,ITM11567,8/12/24,8/14/24,8/12/24,960,14.34,13766.4,Delivered
PO00188,SUP001,ITM10879,6/14/24,6/23/24,6/21/24,143,88.77,12694.11,Delivered
PO00189,SUP005,ITM11211,12/11/24,12/14/24,,639,7.76,4958.64,Open
PO00190,SUP008,ITM13154,1/11/24,1/19/24,,738,140.92,103998.96,Cancelled
PO00191,SUP014,ITM10676,10/22/24,10/29/24,10/28/24,531,81.53,43292.43,Delivered
PO00192,SUP009,ITM10870,8/14/24,8/23/24,8/29/24,649,99.96,64874.04,Delayed
PO00193,SUP006,ITM12675,9/8/24,9/15/24,9/26/24,406,66.07,26824.42,Delayed
PO00194,SUP003,ITM11760,6/13/24,6/16/24,6/15/24,387,39.51,15290.37,Delivered
PO00195,SUP010,ITM12179,9/10/24,9/15/24,9/16/24,883,85.48,75478.84,Delivered
PO00196,SUP008,ITM11910,1/19/24,1/25/24,1/25/24,308,52.53,16179.24,Delivered
PO00197,SUP014,ITM11578,7/25/24,7/31/24,,894,34.64,30968.16,Open
PO00198,SUP001,ITM10378,12/2/24,12/7/24,,523,8.32,4351.36,Open
PO00199,SUP012,ITM12370,4/6/24,4/9/24,4/11/24,824,68.11,56122.64,Delivered
PO00200,SUP012,ITM12518,8/14/24,8/23/24,,258,121.02,31223.16,Open
PO00201,SUP002,ITM10414,3/8/24,3/17/24,3/28/24,951,38.03,36166.53,Delayed
PO00202,SUP003,ITM10992,3/3/24,3/8/24,3/11/24,673,27.65,18608.45,Delivered
PO00203,SUP012,ITM11267,12/29/24,1/2/25,1/4/25,64,73.4,4697.6,Delivered
PO00204,SUP011,ITM11802,2/17/24,2/24/24,2/22/24,522,33.53,17502.66,Delivered
PO00205,SUP010,ITM10727,11/27/24,12/4/24,,560,86.82,48619.2,Open
PO00206,SUP011,ITM11058,5/29/24,6/5/24,6/5/24,475,9.18,4360.5,Delivered
PO00207,SUP011,ITM11255,8/29/24,9/1/24,9/3/24,198,43.03,8519.94,Delivered
PO00208,SUP001,ITM10284,11/2/24,11/11/24,11/10/24,934,117.64,109875.76,Delivered
PO00209,SUP012,ITM10792,7/31/24,8/9/24,8/11/24,323,62.96,20336.08,Delivered
PO00210,SUP011,ITM11087,5/24/24,5/26/24,5/28/24,643,59.12,38014.16,Delivered
PO00211,SUP010,ITM11592,9/7/24,9/11/24,,507,65.05,32980.35,Open
PO00212,SUP005,ITM12406,6/25/24,7/2/24,7/4/24,436,50.36,21956.96,Delivered
PO00213,SUP012,ITM10899,6/13/24,6/22/24,,764,27.63,21109.32,Open
PO00214,SUP002,ITM12793,7/15/24,7/23/24,7/24/24,94,66.69,6268.86,Delivered
PO00215,SUP013,ITM11774,8/30/24,9/2/24,9/3/24,445,142.39,63363.55,Delivered
PO00216,SUP004,ITM10492,11/29/24,12/3/24,,557,128.43,71535.51,Cancelled
PO00217,SUP007,ITM10981,3/5/24,3/11/24,3/13/24,389,142.44,55409.16,Delivered
PO00218,SUP012,ITM10049,8/13/24,8/15/24,8/16/24,65,23.06,1498.9,Delivered
PO00219,SUP006,ITM10519,7/28/24,8/6/24,8/12/24,126,111.5,14049,Delayed
PO00220,SUP010,ITM12282,5/15/24,5/23/24,5/26/24,457,86.79,39663.03,Delivered
PO00221,SUP010,ITM12161,6/17/24,6/19/24,,929,43.88,40764.52,Open
PO00222,SUP007,ITM13159,6/11/24,6/15/24,6/16/24,943,47.21,44519.03,Delivered
PO00223,SUP007,ITM12092,11/12/24,11/18/24,11/21/24,750,26.98,20235,Delivered
PO00224,SUP010,ITM11377,4/26/24,5/3/24,5/4/24,150,26.18,3927,Delivered
PO00225,SUP003,ITM10308,12/26/24,1/2/25,1/13/25,220,112.35,24717,Delayed
PO00226,SUP012,ITM11382,1/15/24,1/20/24,1/18/24,350,48.92,17122,Delivered
PO00227,SUP010,ITM11102,8/8/24,8/10/24,8/12/24,471,22.54,10616.34,Delivered
PO00228,SUP011,ITM10772,4/2/24,4/11/24,4/9/24,674,71.65,48292.1,Delivered
PO00229,SUP004,ITM10835,11/13/24,11/18/24,11/19/24,984,98.15,96579.6,Delivered
PO00230,SUP012,ITM12751,4/28/24,5/7/24,5/7/24,520,94.27,49020.4,Delivered
PO00231,SUP008,ITM12564,1/5/24,1/8/24,1/19/24,972,106.01,103041.72,Delayed
PO00232,SUP012,ITM11939,10/6/24,10/14/24,10/15/24,403,75.89,30583.67,Delivered
PO00233,SUP001,ITM10822,6/2/24,6/11/24,6/12/24,756,11.99,9064.44,Delivered
PO00234,SUP005,ITM10589,6/3/24,6/10/24,6/11/24,923,45.99,42448.77,Delivered
PO00235,SUP012,ITM11853,5/1/24,5/7/24,5/7/24,638,105.54,67334.52,Delivered
PO00236,SUP013,ITM10691,12/24/24,12/27/24,12/30/24,455,82.86,37701.3,Delivered
PO00237,SUP010,ITM13086,10/16/24,10/22/24,,846,75.51,63881.46,Open
PO00238,SUP003,ITM10947,1/26/24,1/29/24,2/9/24,902,128.67,116060.34,Delayed
PO00239,SUP009,ITM10267,5/26/24,5/30/24,,285,129.88,37015.8,Open
PO00240,SUP002,ITM11030,6/29/24,7/1/24,6/30/24,685,103.47,70876.95,Delivered
PO00241,SUP010,ITM11169,12/3/24,12/11/24,12/10/24,693,29.53,20464.29,Delivered
PO00242,SUP003,ITM10269,11/17/24,11/24/24,11/24/24,857,104.86,89865.02,Delivered
PO00243,SUP006,ITM11732,10/23/24,10/28/24,10/27/24,142,115.88,16454.96,Delivered
PO00244,SUP015,ITM12485,6/16/24,6/22/24,6/21/24,255,74.76,19063.8,Delivered
PO00245,SUP011,ITM10130,10/3/24,10/9/24,10/18/24,593,130.78,77552.54,Delayed
PO00246,SUP001,ITM12238,5/19/24,5/25/24,,313,155.14,48558.82,Open
PO00247,SUP012,ITM12521,9/3/24,9/9/24,9/17/24,814,152.85,124419.9,Delayed
PO00248,SUP012,ITM12751,2/28/24,3/8/24,3/6/24,194,108.71,21089.74,Delivered
PO00249,SUP011,ITM10774,4/25/24,5/2/24,,791,145.54,115122.14,Open
PO00250,SUP006,ITM11796,7/22/24,7/30/24,8/11/24,424,96.83,41055.92,Delayed
PO00251,SUP001,ITM10059,7/21/24,7/28/24,7/30/24,176,96.1,16913.6,Delivered
PO00252,SUP014,ITM11959,12/10/24,12/13/24,12/13/24,648,67.15,43513.2,Delivered
PO00253,SUP012,ITM12341,11/22/24,11/25/24,11/30/24,741,59.8,44311.8,Delayed
PO00254,SUP015,ITM10045,1/13/24,1/16/24,1/18/24,385,18.49,7118.65,Delivered
PO00255,SUP011,ITM10130,4/23/24,4/29/24,5/2/24,893,129.38,115536.34,Delivered
PO00256,SUP009,ITM12016,12/24/24,1/2/25,1/3/25,169,100.37,16962.53,Delivered
PO00257,SUP004,ITM11454,1/20/24,1/27/24,1/28/24,168,89.99,15118.32,Delivered
PO00258,SUP007,ITM12280,10/2/24,10/5/24,10/6/24,429,110.82,47541.78,Delivered
PO00259,SUP012,ITM11708,12/22/24,12/28/24,1/7/25,651,63.84,41559.84,Delayed
PO00260,SUP001,ITM13193,3/20/24,3/23/24,4/6/24,151,14.78,2231.78,Delayed
PO00261,SUP013,ITM10213,11/11/24,11/20/24,11/20/24,83,98.46,8172.18,Delivered
PO00262,SUP011,ITM11756,4/21/24,4/26/24,4/25/24,925,131.57,121702.25,Delivered
PO00263,SUP008,ITM10683,12/17/24,12/21/24,12/24/24,417,121.34,50598.78,Delivered
PO00264,SUP015,ITM10405,5/21/24,5/24/24,5/22/24,918,27.02,24804.36,Delivered
PO00265,SUP002,ITM11238,2/16/24,2/20/24,2/23/24,704,43.42,30567.68,Delivered
PO00266,SUP001,ITM10969,1/11/24,1/20/24,1/20/24,299,54.22,16211.78,Delivered
PO00267,SUP005,ITM10329,10/16/24,10/18/24,10/20/24,262,116.46,30512.52,Delivered
PO00268,SUP015,ITM10493,4/29/24,5/1/24,4/30/24,857,32.98,28263.86,Delivered
PO00269,SUP015,ITM10137,1/2/24,1/6/24,1/5/24,183,120.03,21965.49,Delivered
PO00270,SUP008,ITM11809,3/30/24,4/5/24,4/3/24,184,58.78,10815.52,Delivered
PO00271,SUP006,ITM11664,5/1/24,5/5/24,5/3/24,228,45.07,10275.96,Delivered
PO00272,SUP004,ITM12421,3/5/24,3/13/24,3/15/24,166,103.35,17156.1,Delivered
PO00273,SUP003,ITM11922,8/31/24,9/4/24,9/4/24,575,52.1,29957.5,Delivered
PO00274,SUP006,ITM11167,8/19/24,8/23/24,8/25/24,94,119.33,11217.02,Delivered
PO00275,SUP001,ITM12876,12/3/24,12/12/24,12/13/24,708,136.47,96620.76,Delivered
PO00276,SUP001,ITM11692,2/1/24,2/4/24,,917,119.34,109434.78,Cancelled
PO00277,SUP005,ITM10724,12/17/24,12/24/24,12/27/24,981,102.05,100111.05,Delivered
PO00278,SUP010,ITM11819,2/11/24,2/18/24,2/17/24,117,29.4,3439.8,Delivered
PO00279,SUP012,ITM11478,11/15/24,11/22/24,11/24/24,779,36,28044,Delivered
PO00280,SUP015,ITM11002,11/1/24,11/5/24,11/6/24,567,85.19,48302.73,Delivered
PO00281,SUP015,ITM10575,2/20/24,2/26/24,,167,63.48,10601.16,Open
PO00282,SUP006,ITM11036,11/29/24,12/6/24,12/18/24,788,63.39,49951.32,Delayed
PO00283,SUP010,ITM12316,8/8/24,8/17/24,8/16/24,473,47.98,22694.54,Delivered
